name,organization,city,country,type,start_date,end_date,link
V Guatemala Future Series 2023,BWF - Federacion Nacional de Badminton de Guatemal,Guatemala,Guatemala,Future Series,6/20/2023,6/25/2023,/sport/tournament?id=A8957AC6-D7EB-4EAC-99A0-1171537DBF45
YONEX Taipei Open 2023,Badminton World Federation,Taipei,Chinese Taipei,HSBC BWF World Tour Super 300,6/20/2023,6/25/2023,/sport/tournament?id=CBD852BD-5983-423E-AD8F-1E0A4D513175
ANOC WBG Asian Qualification 2023,Badminton World Federation,Putrajaya,Malaysia,,6/23/2023,6/25/2023,/sport/tournament?id=37EFF7FD-B9F1-4EB5-83A9-480DDBF9C204
Serbian U17 International - NOVI SAD 2023,BWF - Badminton Association of Serbia,Novi Sad,Serbia,,6/23/2023,6/25/2023,/sport/tournament?id=F6F9C061-4D2A-41D9-A526-1CE68FD907E5
HEBAR U17 Bulgaria Open 2023,BWF - Bulgarian Badminton Federation,Pazardzhik,Bulgaria,,6/26/2023,6/29/2023,/sport/tournament?id=E212E910-D4E2-408B-A623-A7250FE4E6F0
2023 European Games,Badminton Europe,Tarnów,Poland,Continental Individual Championships,6/26/2023,7/2/2023,/sport/tournament?id=687757A3-AD4E-4BEA-9311-15D5648CF401
HEBAR U17 Bulgaria Open 2023,Badminton Europe,Pazardzhik,Bulgaria,,6/26/2023,6/29/2023,/sport/tournament?id=E212E910-D4E2-408B-A623-A7250FE4E6F0
2023 European Games,Badminton World Federation,Tarnów,Poland,Continental Individual Championships,6/26/2023,7/2/2023,/sport/tournament?id=687757A3-AD4E-4BEA-9311-15D5648CF401
ANOC WBG African Qualification 2023,Badminton World Federation,Hammamet,Tunisia,,6/27/2023,6/30/2023,/sport/tournament?id=A9A67483-C9D5-4AB5-86B9-94BCC95A52FD
Mongolia International Challenge 2023,Badminton World Federation,Ulaanbaatar,Mongolia,International Challenge,6/27/2023,7/2/2023,/sport/tournament?id=29199721-1D59-4F52-BB0D-0EA16F333F8D
YONEX Canada Open 2023,Badminton World Federation,Calgary,Canada,HSBC BWF World Tour Super 500,7/4/2023,7/9/2023,/sport/tournament?id=9853068E-A5D5-4F22-B902-E7135553B0BC
VICTOR Future Series Nouvelle-Aquitaine 2023,BWF - Federation Francaise de Badminton,Pessac,France,Future Series,7/6/2023,7/9/2023,/sport/tournament?id=18822D13-34C7-4482-B1D3-4A313A1F5154
RSL Lithuanian U17 International 2023,BWF - Lithuanian Badminton Federation,Prienai,Lithuania,,7/7/2023,7/9/2023,/sport/tournament?id=61FDD641-FF6C-4C1A-B5B0-FC3413C2C254
BNI Badminton Asia Junior Championships 2023 (Team),Badminton Asia Confederation,Yogjakarta,Indonesia,Continental Junior Team Championships,7/7/2023,7/11/2023,/sport/tournament?id=2770A68E-35E1-485D-98CF-1B026E00C071
YONEX US Open 2023,Badminton World Federation,Council Bluffs,U.S.A.,HSBC BWF World Tour Super 300,7/11/2023,7/16/2023,/sport/tournament?id=B14BC45C-586E-4DA4-AC3C-BE7526CBF886
BNI Badminton Asia Junior Championships 2023 (Individual),Badminton World Federation,Yogjakarta,Indonesia,Continental Junior Individual Championships,7/12/2023,7/16/2023,/sport/tournament?id=6B728ECE-D5BA-4F13-AC73-4418D4F773D6
XXXI YONEX Pan Am Junior Championships 2023 Team Event,Pan American Badminton Confederation,Lima,Peru,Continental Junior Team Championships,7/13/2023,7/15/2023,/sport/tournament?id=F291CA9C-DE9D-4AEE-BBC9-80DCD9705C8B
XXXI YONEX Pan Am Junior Championships 2023 (U13 - U19),Badminton Pan Am,Lima,Peru,,7/17/2023,7/21/2023,/sport/tournament?id=E605FF17-E17A-4278-A4CA-BE26A1230470
XXXI YONEX Pan Am Junior Championships 2023 U19,Badminton Pan Am,Lima,Peru,Continental Junior Individual Championships,7/17/2023,7/21/2023,/sport/tournament?id=BB186D47-6409-4863-9858-9A42C8FCC040
Korea Open 2023,Badminton World Federation,Yeosu,Korea,HSBC BWF World Tour Super 500,7/18/2023,7/23/2023,/sport/tournament?id=3BAC1D8B-1C03-452C-A237-00D0A5C8A629
YONEX SUNRISE Pembangunan Jaya Raya Junior International Grand Prix 2023,BWF - Badminton Asia Confederation,Tangerang Selatan,Indonesia,Junior International Grand Prix,7/18/2023,7/23/2023,/sport/tournament?id=0C3C37DC-FD63-4655-A798-E143456E6FA1
Mauritius International 2023,Badminton Confederation of Africa,Rose Hill,Mauritius,International Series,7/20/2023,7/23/2023,/sport/tournament?id=BFC1C15F-7C09-42C4-B7D8-4332A9BF0F6C
DAIHATSU Japan Open 2023,Badminton World Federation,Tokyo,Japan,HSBC BWF World Tour Super 750,7/25/2023,7/30/2023,/sport/tournament?id=409CECE5-25E3-40D4-AF25-746D5D7689F3
ST DENIS Reunion Open 2023,Badminton World Federation,Saint Denis,Réunion,International Challenge,7/26/2023,7/30/2023,/sport/tournament?id=9EAED852-D1F4-44D3-85AF-FE82F0936702
All England Junior Badminton Championships 2023,BWF - Badminton England,Birmingham,England,Junior International Series,7/27/2023,7/30/2023,/sport/tournament?id=712F8766-916B-45B6-914B-6D33A7CA7C94
Chengdu 2021 FISU World University Games,Badminton World Federation,Chengdu,China,Multi-Sport Games,7/28/2023,8/8/2023,/sport/tournament?id=500CEB85-35E4-4176-AF5D-945336D30059
Badminton Asia Central Asia Regional Junior Championships 2023 (Mixed Team),Badminton Asia Confederation,Dushanbe,Tajikistan,Continental Team Games,7/31/2023,8/2/2023,/sport/tournament?id=046DA9A8-068B-4CF2-9948-318ADA8C1B62
Chengdu 2021 FISU World University Games (Team),Badminton World Federation,Chengdu,China,Grade 1 – Team Tournaments,7/30/2023,8/2/2023,/sport/tournament?id=B0AA8448-FEF1-43D7-9B52-EFA216EB8801
SATHIO GROUP Australian Open 2023,Badminton World Federation,Sydney,Australia,HSBC BWF World Tour Super 500,8/1/2023,8/6/2023,/sport/tournament?id=EBD7191D-6280-4056-979A-83EAE1328B35
Badminton Asia Central Asia Regional Junior Championships 2023 (Individual Event),BWF - Badminton Tajikistan,Dushanbe,Tajikistan,,8/2/2023,8/4/2023,/sport/tournament?id=A878EE0F-A51D-4CED-B994-0B5B57791338
Argentina Future Series 2023 (Cancelled),Badminton Pan Am,Ciudad Buenos Aires,Argentina,Future Series,8/2/2023,8/6/2023,/sport/tournament?id=F5916DB7-424D-4D1B-81C9-D7EA8638CE14
Bulgarian Junior Open Championship 2023,BWF - Bulgarian Badminton Federation,Pazardzhik,Bulgaria,Junior International Challenge,8/3/2023,8/6/2023,/sport/tournament?id=8EADC47E-3B09-4C6A-872A-0A6F4FB9ECB7
Chengdu 2021 FISU World University Games,Badminton World Federation,Chengdu,China,Grade 1 – Individual Tournaments,8/4/2023,8/7/2023,/sport/tournament?id=500CEB85-35E4-4176-AF5D-945336D30059
2023 European U17 Team Championships,Badminton Europe,Vilnius,Lithuania,Continental Junior Team Championships,8/4/2023,8/8/2023,/sport/tournament?id=A2D11BF1-551F-4D79-B0D7-6FCD572F9D92
Tajikistan International Series 2023,BWF - Republic of Kazahkstan,Dushanbe,Tajikistan,International Series,8/7/2023,8/11/2023,/sport/tournament?id=90291636-9ECC-41B4-A3E2-5A835EF8965C
Chengdu 2021 FISU World University Games (Individual),Badminton World Federation,Chengdu,China,Grade 1 – Team Tournaments,8/4/2023,8/7/2023,/sport/tournament?id=B0AA8448-FEF1-43D7-9B52-EFA216EB8801
Chengdu 2021 FISU World University Games (INDIVIDUAL)),Badminton World Federation,Chengdu,China,Grade 1 – Team Tournaments,8/4/2023,8/7/2023,/sport/tournament?id=DDFBD951-B897-4841-B6C0-ECEE933C66F8
Tajikistan International Series 2023,BWF - Badminton Asia Confederation,Dushanbe,Tajikistan,International Series,8/7/2023,8/11/2023,/sport/tournament?id=90291636-9ECC-41B4-A3E2-5A835EF8965C
2023 European U17 Championships,Badminton Europe,Vilnius,Lithuania,Continental Junior Individual Championships,8/8/2023,8/12/2023,/sport/tournament?id=26C05297-A2B1-43D4-AAA0-5E90376562F0
New Zealand Open 2023 (Cancelled),Badminton World Federation,Auckland,New Zealand,HSBC BWF World Tour Super 300,8/8/2023,8/13/2023,/sport/tournament?id=7A06E7C5-EF36-428C-AC12-6CBB13AE4527
Brazil International Series 2023,Badminton Pan Am,Foz do Iguaçu Paraná,Brazil,International Series,8/9/2023,8/13/2023,/sport/tournament?id=8CADE1D3-4817-4900-8178-677090DDAB04
Paraguay International Series 2023 (Cancelled),Badminton Pan Am,Ciudad del Este,Paraguay,International Series,8/15/2023,8/19/2023,/sport/tournament?id=1CD68338-14D4-4F7C-A4EF-8C95DEA360B6
Maldives International Series 2023,BWF - Badminton Association of Maldives,Male’,Maldives,International Series,8/15/2023,8/20/2023,/sport/tournament?id=847B4F12-E19A-475A-B4E4-47FF47047D6B
Badminton Asia ( South Asia) Regional Championships 2023 (Mixed Team Event),Badminton Asia Confederation,Kathmandu,Nepal,Continental Team Games,8/18/2023,8/20/2023,/sport/tournament?id=C11404AA-9C4A-4EE0-9056-E75BA9C3739A
French U17 International 2023,BWF - Federation Francaise de Badminton,Talence,France,,8/18/2023,8/20/2023,/sport/tournament?id=210C9E2D-49D0-468F-B869-92C1D6604558
Badminton Asia ( South Asia) Regional Championships 2023 (Individual Event),BWF - Badminton Asia Confederation,Kathmandu,Nepal,,8/20/2023,8/22/2023,/sport/tournament?id=9B2BB803-85E3-474E-AEB3-D6BA0D54527C
TotalEnergies BWF World Championships 2023,Badminton World Federation,Copenhagen,Denmark,Grade 1 – Individual Tournaments,8/21/2023,8/27/2023,/sport/tournament?id=F4169AF2-1EE8-4976-96CE-8D24E664BCFD
KOTAK India Junior International Series 2023,BWF - Badminton Association of India,Hyderabad,India,Junior International Series,8/22/2023,8/27/2023,/sport/tournament?id=79910328-B114-4CF5-89B6-FE45E9AE36D8
Trinidad & Tobago International 2023,BWF - Trinidad & Tobago Badminton Association,Tacarigua,Trinidad and Tobago,International Series,8/22/2023,8/27/2023,/sport/tournament?id=EC45CAFB-64B4-42D0-A57A-4C9717A38654
Cameroon International 2023,BWF - Badminton Association of Cameroon,Yaoundé,Cameroon,International Series,8/24/2023,8/27/2023,/sport/tournament?id=1D52DCBD-846A-4B06-99EF-2575FDF00EFB
Danish Junior Cup 2023,BWF - Badminton Denmark,Gentofte,Denmark,Junior International Series,8/24/2023,8/27/2023,/sport/tournament?id=C3A15DF9-E508-4B42-A814-3038A3EA5E0C
Danish Junior Cup U17 2023,BWF - Badminton Denmark,Hvidovre,Denmark,,8/24/2023,8/27/2023,/sport/tournament?id=CE6B1F8F-7A40-413E-B397-651AEE3C585E
III Mexico Future Series 2023,BWF - Federacion Mexicana de Badminton,Guadalajara,Mexico,Future Series,8/29/2023,9/3/2023,/sport/tournament?id=ED5A70A3-E72A-4F60-BA85-F6CC64961573
XPORA Indonesia International Challenge 2023,BWF - Persatuan Bulutangkis Seluruh Indonesia,Medan,Indonesia,International Challenge,8/29/2023,9/3/2023,/sport/tournament?id=C0F13C08-204E-4BE8-94DD-B0C6152E2FC4
YONEX SUNRISE India Junior International Grand Prix 2023,BWF - Badminton Association of India,Pune,India,Junior International Grand Prix,8/29/2023,9/3/2023,/sport/tournament?id=5F4E6B9A-6563-4AC9-BA0D-9E9928B17569
Lagos International Classics 2023,Badminton Confederation of Africa,Surulere,Nigeria,International Challenge,8/30/2023,9/2/2023,/sport/tournament?id=8B0E503B-C1CA-4424-840E-A1AD9358E6AD
VICTOR Latvia International 2023,BWF - Latvian Badminton Federation,Riga,Latvia,Future Series,8/30/2023,9/3/2023,/sport/tournament?id=100C1A03-7213-415F-8C89-01D73E4BDB2D
29. TEM Mirna U17 International 2023,BWF - Slovenia Badminton Federation,Mirna,Slovenia,,9/1/2023,9/3/2023,/sport/tournament?id=8D499D36-0D11-4B0A-AE28-413368572C50
FZ FORZA U19 Irish Open 2023,Badminton Union of Ireland,Dublin,Ireland,Junior International Series,9/1/2023,9/3/2023,/sport/tournament?id=684B479A-20E5-467B-8C47-9D1379F6940C
BNI Indonesia Masters I 2023,Badminton World Federation,Medan,Indonesia,BWF Tour Super 100,9/5/2023,9/10/2023,/sport/tournament?id=8F26B352-FF2A-4815-9B29-F4770D4518AD
Guatemala International Challenge 2023,BWF - Federacion Nacional de Badminton de Guatemal,Guatemala,Guatemala,International Challenge,9/5/2023,9/10/2023,/sport/tournament?id=B9FAEA94-1202-462D-BC9D-86FD30BCC4FD
Malaysia Junior International Challenge 2023,BWF - Badminton Association of Malaysia,Perlis,Malaysia,Junior International Challenge,9/5/2023,9/10/2023,/sport/tournament?id=499DE1FF-9A02-41BB-BF58-9247F7676A01
VICTOR China Open 2023,Badminton World Federation,Changzhou,China,HSBC BWF World Tour Super 1000,9/5/2023,9/10/2023,/sport/tournament?id=05883743-A911-4C4D-9901-5BBEEF2A6E34
ENEA Polish U19 Open 2023 presented by VICTOR,Badminton Europe,Gniezno,Poland,Junior International Challenge,9/7/2023,9/9/2023,/sport/tournament?id=5B40D2F6-9D1D-4FA7-9AA8-5AABA552449C
Bénin International 2023,BWF - Federation Beninoise de Badminton,Ouidah,Benin,Future Series,9/7/2023,9/10/2023,/sport/tournament?id=626141F7-3F3D-4447-A0C4-EB39409FB163
YONEX Slovenia Future Series 2023,Badminton Europe,Otočec,Slovenia,Future Series,9/7/2023,9/10/2023,/sport/tournament?id=9014E32B-D779-4090-943A-38A887D02FB7
Bénin Junior International 2023,Badminton Confederation of Africa,Ouidah,Benin,Junior Future Series,9/11/2023,9/13/2023,/sport/tournament?id=07AF2125-E88F-4E2A-9EC4-F37B9A245F6F
BWF World Senior Championships 2023,Badminton World Federation,Jeonju,Korea,Grade 1 – Individual Tournaments,9/11/2023,9/17/2023,/sport/tournament?id=8B82FCD4-48CF-4010-BCDD-DE2600AEF2E7
Bénin Junior International 2023,BWF - Federation Beninoise de Badminton,Ouidah,Benin,Junior Future Series,9/11/2023,9/13/2023,/sport/tournament?id=07AF2125-E88F-4E2A-9EC4-F37B9A245F6F
BWF World Senior Championships 2023,Badminton World Federation,Jeonju,Korea,Grade 1 – Individual Senior Tournaments,9/11/2023,9/17/2023,/sport/tournament?id=8B82FCD4-48CF-4010-BCDD-DE2600AEF2E7
VICTOR Hong Kong Open 2023,Badminton World Federation,Kowloon,Hong Kong China,HSBC BWF World Tour Super 500,9/12/2023,9/17/2023,/sport/tournament?id=6F0CEBA9-84D2-44D9-85B8-007EED86A95F
YONEX-SUNRISE Vietnam Open 2023,Badminton World Federation,Ho Chi Minh City,Vietnam,BWF Tour Super 100,9/12/2023,9/17/2023,/sport/tournament?id=97172C3A-4435-4816-AEDE-0F1787B1589B
YONEX Belgian International 2023,BWF - Belgian Badminton Federation,Leuven,Belgium,International Challenge,9/13/2023,9/16/2023,/sport/tournament?id=93427AB1-EA52-4B90-B2DA-614E53A5BAD8
YONEX Slovenia Junior International 2023,BWF - Slovenia Badminton Federation,Mirna,Slovenia,Junior International Series,9/15/2023,9/17/2023,/sport/tournament?id=C2211EAA-DAB2-4C1B-8424-12EBBCBBB109
Bahrain Junior International Series 2023,BWF - Bahrain Badminton Federation,Manama,Bahrain,Junior International Series,9/19/2023,9/24/2023,/sport/tournament?id=14691E39-F19F-4E73-ACD6-640958F3C767
TOYOTA Gazoo Racing Thailand International Series 2023,BWF - Badminton Association of Thailand,Nonthaburi,Thailand,,9/19/2023,9/24/2023,/sport/tournament?id=87725A19-E7FE-49E2-9F04-CA6A15AAB0FB
Perú Challenge 2023,Badminton Pan Am,Lima,Peru,International Challenge,9/20/2023,9/24/2023,/sport/tournament?id=32303625-F9EB-4367-B16E-42A1A3505999
ORLEN Polish International 2023 presented by VICTOR,BWF - Polish Badminton Association,Lublin,Poland,International Series,9/21/2023,9/24/2023,/sport/tournament?id=84B3E719-4EEF-4B83-8EEF-39BB619E6905
7th LI-NING Zagreb U17 Open 2023,BWF - Croatian Badminton Association,Zagreb,Croatia,,9/22/2023,9/24/2023,/sport/tournament?id=40E928B8-31FD-4DB3-8F70-A652FAADEC09
YONEX Belgian Junior 2023,BWF - Belgian Badminton Federation,Herstal,Belgium,,9/22/2023,9/24/2023,/sport/tournament?id=38A42AAA-3ACB-4690-935F-B272F18D631D
BWF World Junior Mixed Team Championships 2023,Badminton World Federation,Spokane,U.S.A.,,9/25/2023,9/30/2023,/sport/tournament?id=4267015B-8E68-47F2-A100-3291A884B584
VICTOR Kaohsiung Masters 2023,Badminton World Federation,Kaohsiung,Chinese Taipei,BWF Tour Super 100,9/26/2023,10/1/2023,/sport/tournament?id=46F5BDD6-8136-4529-B53B-301F948F56AB
ASIAN Games 2022 (Team Event) - Non World Ranking,Badminton Asia Confederation,Hangzhou,China,,9/28/2023,10/1/2023,/sport/tournament?id=C65B5D6F-43FB-46E9-963E-08D7D3BA08F5
Kampala International 2023,BWF - Uganda Badminton Association,Kampala,Uganda,Future Series,9/28/2023,10/1/2023,/sport/tournament?id=D63D1DC3-AA3E-4973-AFA3-1B00F94E0225
VICTOR Croatian International 2023,BWF - Croatian Badminton Association,Zagreb,Croatia,,9/28/2023,10/1/2023,/sport/tournament?id=C914C21D-DAAB-4DB5-9D09-39D38A1C8E1C
Slovak Youth U17 2023,BWF - Slovak Badminton Federation,Trencin,Slovakia,,9/29/2023,10/1/2023,/sport/tournament?id=54AF295C-C230-4AF7-A8FD-C5732BB547C5
ASIAN Games 2022 (Individual Event),BWF - Chinese Badminton Association,Hangzhou,China,,10/2/2023,10/7/2023,/sport/tournament?id=265002E7-4B82-4EFE-A00A-053789CAD74E
BWF World Junior Championships 2023,Badminton World Federation,Spokane,U.S.A.,,10/2/2023,10/8/2023,/sport/tournament?id=3CCBDE67-2F3E-4504-99C8-F667B59EA5C2
BWF World Junior Championships 2023,Badminton World Federation,Spokane,U.S.A.,Grade 1 – Individual Junior Tournaments,10/2/2023,10/8/2023,/sport/tournament?id=3CCBDE67-2F3E-4504-99C8-F667B59EA5C2
Malaysia International Series 2023,BWF - Badminton Association of Malaysia,Kota Kinabalu,Malaysia,International Series,10/3/2023,10/8/2023,/sport/tournament?id=8004E658-2114-4498-8749-A028933624CE
Venezuela International 2023,Badminton Pan Am,Maracay,Venezuela,International Series,10/4/2023,10/8/2023,/sport/tournament?id=51713BB6-1FD0-4808-B5D4-0DE3EE318E0C
Scottish Open 2023,BWF - Badminton Scotland,Glasgow,Scotland,International Challenge,10/5/2023,10/8/2023,/sport/tournament?id=4063FBAB-4206-4239-ADCD-F3C760E4CBBF
Uganda International Series 2023,BWF - Uganda Badminton Association,Kampala,Uganda,International Series,10/5/2023,10/8/2023,/sport/tournament?id=75E7FC86-29AB-4130-98A1-F1E202D58933
YONEX Bulgarian International Championship 2023,BWF - Bulgarian Badminton Federation,Sofia,Bulgaria,Future Series,10/5/2023,10/8/2023,/sport/tournament?id=4E287A3B-1A49-4256-A22A-F75F1E28AC3D
Austrian U17 International 2023,BWF - Österreichischer Badminton Verband,Mödling,Austria,,10/6/2023,10/8/2023,/sport/tournament?id=12F501E3-0619-4F84-B65C-FF795FB20637
Croatia VALAMAR Junior Open 2023,BWF - Croatian Badminton Association,Dubrovnik,Croatia,Junior International Challenge,10/7/2023,10/8/2023,/sport/tournament?id=F0A7CEC4-3C8E-4F04-AC45-3309F918841B
CLASH OF CLANS Arctic Open 2023 powered by YONEX,Badminton World Federation,Vantaa,Finland,HSBC BWF World Tour Super 500,10/10/2023,10/15/2023,/sport/tournament?id=91CF9351-372A-4336-9E69-0366D53C7F63
Perú International Series 2023,BWF - Federacion Peruana de Badminton,Lima,Peru,,10/11/2023,10/15/2023,/sport/tournament?id=110C9598-6443-4AD6-B05A-39B982764E59
YONEX Bendigo International 2023,BWF - Badminton Australia,Bendigo West,Australia,International Challenge,10/11/2023,10/15/2023,/sport/tournament?id=E876CCBD-4E4F-43E5-A685-65326977D5AC
YONEX Dutch Open 2023,BWF - Badminton Nederland,'s-Hertogenbosch,Netherlands,International Challenge,10/11/2023,10/15/2023,/sport/tournament?id=EFA41D56-9404-4FA3-8967-59A0E3C2C4E6
YONEX German Ruhr U17 International 2023,BWF - German Badminton Association,Mülheim an der Ruhr,Germany,,10/11/2023,10/15/2023,/sport/tournament?id=6DB850B1-85FC-48E4-9DB5-6A80B28184B1
YONEX German Ruhr U19 International 2023,BWF - German Badminton Association,Mülheim an der Ruhr,Germany,Junior International Series,10/11/2023,10/15/2023,/sport/tournament?id=FA771617-1773-4B64-B9D0-206909B49560
Badminton Asia ( West Asia) Regional Championships 2023 (Mixed Team Event),Badminton Asia Confederation,Ankawa Erbil ,Iraq,Continental Team Games,10/12/2023,10/14/2023,/sport/tournament?id=E4B10926-BA80-4B26-809B-5395F4CCE0D7
Egypt International 2023,Badminton Confederation of Africa,Cairo,Egypt,International Series,10/12/2023,10/15/2023,/sport/tournament?id=4C43EC05-3EFF-4364-A271-ED0F9C85D645
Badminton Asia (West Asia) Regional Championships 2023 (Individual Event),BWF - Badminton Federation of the I R of Iran,Ankawa Erbil,Iraq,,10/14/2023,10/17/2023,/sport/tournament?id=825AC304-7BBE-478F-80DF-5650706D6A49
4th Iran Junior International Series 2023 (Cancelled),BWF - Badminton Asia Confederation,TBC,Iran,Junior International Series,10/16/2023,10/19/2023,/sport/tournament?id=C774843B-0CC6-4D53-9C82-14B8F818867B
Abu Dhabi Masters 2023,Badminton World Federation,Abu Dhabi,United Arab Emirates,BWF Tour Super 100,10/17/2023,10/22/2023,/sport/tournament?id=589BDBAB-81BB-4A46-9247-38052BA0574B
Badminton Asia U17 & U15 Junior Championships 2023,BWF - Badminton Asia Confederation,Chengdu,China,Continental Junior Individual Championships,10/17/2023,10/22/2023,/sport/tournament?id=76F0EE70-0F4E-4DB7-BF0F-5C424A5ED7B1
Sydney International 2023,BWF - Badminton Australia,Sydney,Australia,International Series,10/17/2023,10/22/2023,/sport/tournament?id=1416D13F-0BFC-4473-A890-A1AC6CA4DD23
VICTOR Denmark Open 2023,Badminton World Federation,Odense,Denmark,HSBC BWF World Tour Super 750,10/17/2023,10/22/2023,/sport/tournament?id=807D32BF-F1D2-4277-8A5F-C2064EE59D33
XPORA Indonesia International Challenge 2023 (Surabaya),BWF - Persatuan Bulutangkis Seluruh Indonesia,Surabaya,Indonesia,,10/17/2023,10/22/2023,/sport/tournament?id=C297BF0B-70CB-423C-A5E8-69881A9F1BD9
VICTOR Denmark Junior (U17) 2023,BWF - Badminton Denmark,Langeskov,Denmark,,10/19/2023,10/21/2023,/sport/tournament?id=D3BE6425-4498-4BEB-B02E-FFAE3F68DAE0
VICTOR Denmark Junior 2023,BWF - Badminton Denmark,Odense C,Denmark,Junior International Series,10/19/2023,10/21/2023,/sport/tournament?id=2C1A1B40-20FA-4364-9810-0997F4FF3DD8
VI Santo Domingo Junior International 2023 (Cancelled),Badminton Pan Am,San Pedro de Macoris,Dominican Republic,Junior Future Series,10/19/2023,10/22/2023,/sport/tournament?id=3EE256C7-1006-402B-AF3D-46A0C64D3190
Algeria International 2023,Badminton Confederation of Africa,El biar,Algeria,International Series,10/19/2023,10/22/2023,/sport/tournament?id=AD1B689B-11CA-4C93-8655-2F2BBEC9AE8A
YONEX Czech Open 2023,BWF - Czech Badminton Federation,Prague,Czech Republic,International Series,10/19/2023,10/22/2023,/sport/tournament?id=B2CA5673-8CCD-40DD-AD11-CCBFB12BC6A4
XIX Panamerican Games Santiago 2023,Badminton Pan Am,Santiago de Chile,Chile,Continental Individual Games,10/21/2023,10/25/2023,/sport/tournament?id=332A535E-B82D-4C0B-8CC9-F25637882349
IV Dominican Open 2023 (Cancelled),Badminton Pan Am,San Pedro de Macoris,Dominican Republic,Future Series,10/24/2023,10/27/2023,/sport/tournament?id=3D7A5FB9-E386-4D91-A198-49FB4D46A3FC
BNI Indonesia Masters II 2023,Badminton World Federation,Surabaya,Indonesia,BWF Tour Super 100,10/24/2023,10/29/2023,/sport/tournament?id=00835AC8-D734-4F12-A215-0261507E6447
INFOSYS FOUNDATION India International Challenge 2023,BWF - Badminton Association of India,Bengaluru,India,International Challenge,10/24/2023,10/29/2023,/sport/tournament?id=C7C043C4-A2AA-497E-8950-F491092A9197
YONEX French Open 2023,Badminton World Federation,Rennes,France,HSBC BWF World Tour Super 750,10/24/2023,10/29/2023,/sport/tournament?id=872B6C77-9964-486A-997A-1E0C78D4D54C
North Harbour International 2023 (Cancelled),Badminton Oceania,Auckland,New Zealand,International Challenge,10/25/2023,10/29/2023,/sport/tournament?id=22097E65-ABF3-4BA2-9A62-1A3E71BFB435
YONEX Israel Open 2023 (Cancelled),Badminton Europe,Kibbutz Hatzor,Israel,Future Series,10/26/2023,10/28/2023,/sport/tournament?id=8A4881B3-F76B-4E7E-A52E-4E3ACBFF03EF
Badminton Asia ( Southeast Asia) Regional Championships 2023 (Team Event),Badminton Asia Confederation,Phnom Penh,Cambodia,,10/30/2023,11/1/2023,/sport/tournament?id=A89A48D3-71CE-4DEB-A76A-F0EF503937CF
VII Mexican International U19 2023 (Cancelled),Badminton Pan Am,Mexico,Mexico,Junior Future Series,10/31/2023,11/5/2023,/sport/tournament?id=B607B2C4-F54C-445B-A654-16FD1D4DD3B4
BERGAMOT KL Masters Malaysia Super 100 2023,Badminton World Federation,Kuala Lumpur,Malaysia,BWF Tour Super 100,10/31/2023,11/5/2023,/sport/tournament?id=54E9ADB9-8717-4AE3-B8D6-9A856F925D54
CHHATTISGARH India International Challenge 2023,BWF - Badminton Association of India,Raipur,India,,10/31/2023,11/5/2023,/sport/tournament?id=8F3BB6F5-FD52-4859-8CD3-43C9E66D03E0
HYLO Open 2023,Badminton World Federation,Saarbrucken,Germany,HSBC BWF World Tour Super 300,10/31/2023,11/5/2023,/sport/tournament?id=495403C2-04D0-462D-B44B-946FFE586259
Badminton Asia ( Southeast Asia) Regional Championships 2023 (Individual Event),BWF - Badminton Asia Confederation,Phnom Penh,Cambodia,,11/1/2023,11/3/2023,/sport/tournament?id=3306A8F2-5823-4223-A534-5D1FD05DE4BA
48th VICTOR FZ FORZA Hungarian International Championships 2023,BWF - Hungarian Badminton Association,Budapest,Hungary,International Series,11/1/2023,11/4/2023,/sport/tournament?id=06C1252C-1518-4D23-9236-624B9C94974D
RSL Lithuanian Junior 2023,BWF - Lithuanian Badminton Federation,Vilnius,Lithuania,Junior International Series,11/3/2023,11/5/2023,/sport/tournament?id=8739D9E8-1ADA-4833-86DA-5667F9AE79BA
FELET Vietnam International Series 2023,BWF - Vietnam Badminton Federation,Ninh Binh,Vietnam,International Series,11/7/2023,11/12/2023,/sport/tournament?id=E375EB76-E393-42BE-B3BF-E9709FB91780
Korea Masters 2023,Badminton World Federation,Gwangju,Korea,HSBC BWF World Tour Super 300,11/7/2023,11/12/2023,/sport/tournament?id=D5F3A8C9-715E-475F-999D-3DA0402524BC
YONEX-SINGHA-bty Junior International Series 2023,BWF - Badminton Association of Thailand,Bangkok,Thailand,Junior International Series,11/7/2023,11/12/2023,/sport/tournament?id=FB96BE14-1608-4C50-9344-643EA76EAC71
Guatemala International Series 2023,BWF - Federacion Nacional de Badminton de Guatemal,Guatemala,Guatemala,International Series,11/8/2023,11/12/2023,/sport/tournament?id=F0A6006D-6F2B-4EE6-B813-776526DD1113
FZ FORZA Norwegian International 2023,BWF - Norwegian Badminton Association,Sandefjord,Norway,International Series,11/9/2023,11/12/2023,/sport/tournament?id=94AEF1F7-778E-4164-9529-05BC6C0755EA
YONEX Polish International U19 2023,BWF - Polish Badminton Association,Bialystok,Poland,Junior International Series,11/10/2023,11/12/2023,/sport/tournament?id=353E1223-A921-4AAA-9048-14B4D4F34C7A
IBERDROLA Spanish International 2023,BWF - Federación Española de Bádminton,Blanca Dona,Spain,,11/13/2023,11/16/2023,/sport/tournament?id=859E9BB6-F2BB-46CD-A47C-FE51B6BA7FB2
